Plant.Code,Elevation,pond_area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Tdb,Twb,nwT
371,450,1000000,5671560,5119993,5581741,5314568,1292750,191052,3968526,5670451,5571761,5770967,5437261,5810104,1.94,6.48,9.97,10.84,17.73,24.05,25.7,23.77,17.22,14.08,3.88,1.87,0.94,4.22,6.24,6.09,11.61,14.64,15.4,14.51,11.07,9.96,2,1.1,4.3,5.5,6.9,9.5,13.2,17.7,20.1,20,17.8,15.1,10.8,5.9,4.4,5.6,6.7,7.4,7,6.9,7.3,6.7,5.8,6,6.8,7,92.46742551,66.82453838,30.49
377,470,1000000,98318,70533,75811,96343,96589,101795,107539,115800,119078,124590,90957,118178,15.56,16.69,19.22,17.86,17.27,21.55,22.89,24.93,25.56,23.23,15.84,12.99,10.01,11.73,12.65,11.9,13.16,16.63,18.1,18.93,19.13,17.37,8.84,7.26,15.6,16.1,16.9,17,16.8,18.5,19.3,20.6,21,20.2,16.9,15.2,2.7,2.9,3.8,4.4,4.5,4.5,4.5,4.1,3.5,3.6,3.8,4.1,80.61977058,70.38175943,30.49
384,510,1000000,824954,919156,873839,258612,948385,788333,986981,1016328,1029740,967556,801415,164294,-5.07,-9.6,2.22,10.37,16.6,20.6,22.8,22.11,20.85,12.8,7.29,4.37,-5.85,-9.94,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.34,4.85,3.14,3.3,1.9,6,12.8,17.9,21.1,24.5,25.1,22.3,17.9,12,7.7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4,84.66680206,76,30.49
384,510,1000000,2749848,3063854,2912797,862041,3161283,2627778,3289938,3387760,3432466,3225187,2671382,547646,-5.07,-9.6,2.22,10.37,16.6,20.6,22.8,22.11,20.85,12.8,7.29,4.37,-5.85,-9.94,-0.19,6.36,13.09,17.14,18.6,18.11,16.95,9.34,4.85,3.14,3.3,1.9,6,12.8,17.9,21.1,24.5,25.1,22.3,17.9,12,7.7,10,10.5,9.5,10.7,10.1,8.1,7,7.2,7.4,10.3,11,11.4,84.66680206,76,30.49
389,-50,1000000,207513,104092,203806,144075,290453,500783,486861,542101,524948,387396,140677,114324,14,18.08,20.87,21.57,23.31,31.25,31.96,35.26,32.01,26.75,16.34,12.47,8.21,10.95,12.15,12.07,14.37,19.03,20.14,21.21,20.88,16.72,8.36,6.28,13.1,15.9,15.3,17.2,17.3,19.2,22.5,21.6,21.9,18.6,15.6,12.4,4.3,5.7,6.2,8.6,9.4,8.5,7.9,6.9,5.8,6.4,7,6.9,95.55687402,78.66373602,30.49
408,920,1000000,109,0,42984,197510,37148,168289,159771,323598,343379,584188,453572,79566,15.47,16.73,19.37,18,17.46,22.17,23.35,25.45,25.94,23.24,15.65,12.73,9.77,11.54,12.49,11.71,13.09,16.72,18.12,18.9,19.01,17.19,8.5,6.91,15.5,16.1,16.9,17,16.5,18.4,19.3,20.8,21.2,20.5,16.7,15.1,3.6,3.6,4.7,5.4,5.5,5.5,5.5,5,4.3,4.5,4.8,5.2,80.61144929,70.38132411,30.49
420,750,1000000,22046,0,0,2253,27331,0,0,0,30614,34601,0,24230,16.11,17.12,19.57,18.2,17.51,21.3,22.78,24.78,25.48,23.49,16.86,13.36,10.42,12.11,13.03,12.26,13.35,16.68,18.17,19.04,19.35,17.65,9.41,7.63,15.5,16,16.8,17,16.9,18.6,19.4,20.5,20.8,19.9,16.8,15,1.9,2.6,3.2,4,4.2,4.1,4.1,3.8,3.3,3.2,2.9,3.1,81.02201726,70.53264165,30.49
469,5140,1000000,1472972,1314994,698290,1129385,1046372,1160547,1170188,1809180,1660579,1668597,718078,1072991,0.95,0.91,6.92,9.11,11.19,20.51,22.12,22.85,20.34,13.36,3.48,-1.17,-2.19,-2.65,1.7,4.22,8.09,14.6,14.66,14.09,11.42,7.64,-1.02,-3.72,2.6,3.5,5.6,7.2,7.9,11.6,13.3,15.3,12.7,9.6,5.3,3.2,8.5,8.4,9,9.8,8.4,8.4,8.5,8.8,8.2,7.9,9.3,9,79.85626369,62.92813185,30.49
470,4830,1000000,1767136,1796669,1279113,2034428,2014998,2244634,2524481,2471235,2158077,2462007,2596660,2257597,-1.47,-0.49,5.16,8.1,10.82,19.17,20.26,20.52,17.93,11.67,2.11,-1.97,-4.2,-3.85,0.51,2.78,7.13,13.51,14.01,13.29,10.34,6.55,-2.36,-4.98,3.2,4.8,7.2,9.8,11.6,17.3,20,20.7,20,16.8,8.5,4.3,7.1,8,7.7,10.1,9.1,7.7,8.1,8,7.5,7.1,8.7,7.9,83.68005921,66.03719791,30.49
492,5960,1000000,850682,789581,603535,335955,963458,945155,933509,869696,693774,778126,522105,498374,0.31,0.63,6.04,9,11.16,20.14,21.26,21.8,19.49,12.82,3.6,-0.16,-2.53,-3.02,0.98,3.51,7.76,14.31,14.52,13.9,11.13,7.35,-1.45,-3.61,3.2,4.8,7.5,10,10.4,16.1,17.7,18.8,17.5,13.6,7,3.2,8,8.5,8.9,10.7,9.1,8.4,8.3,8.3,8.1,7.8,9.3,8.9,79.59423103,63.0934637,30.49
493,6175,1000000,2366,5975,0,0,4630,0,0,4252,0,0,0,8221,0.3,0.6,6.03,8.98,11.14,20.12,21.26,21.79,19.48,12.8,3.56,-0.22,-2.55,-3.04,0.98,3.52,7.76,14.33,14.53,13.91,11.13,7.34,-1.46,-3.63,3.1,4.7,7.4,9.9,10.3,16,17.6,18.7,17.3,13.4,6.9,3.2,8,8.4,8.8,10.7,9,8.4,8.2,8.3,8.1,7.8,9.2,8.9,79.54872247,63.06505882,30.49
525,6520,1000000,1757024,1425741,1358508,921986,1280380,1306030,1303338,1592867,1444361,1681158,1612569,1344938,-4.81,0.02,4.29,6.14,9.98,17.96,18.55,18.93,15.26,10.1,-0.21,-9.18,-6.85,-2.85,-0.06,1.69,6.37,10.92,12.01,11.46,8.32,5.02,-3.34,-9.32,1.1,2.1,4.1,6.1,8.8,14,15.6,15.8,12.6,9,2.3,0.4,2.1,4.1,4.9,7,6.2,5.5,5.9,5.5,5.1,4,5.6,3.8,77.71034752,60.67067475,30.49
527,5580,1000000,333835,95789,396767,392059,142475,274384,405074,403675,214319,0,7997,370615,-0.86,2.57,7.42,8.92,12.31,20.54,21.19,21.5,18.23,12.2,2.64,-4.02,-3.08,-1.23,2.1,2.83,7.32,12.07,13.82,13.37,10.52,7.29,-0.99,-5.53,2,5.1,9.4,11.4,13.7,17.8,19.6,20,17.1,12.7,5.4,1.3,4.5,6.1,7,8.7,7.5,7.7,7.4,7.1,7.2,6.4,6.6,5.6,82.3517251,64,30.49
533,197,1000000,918966,829050,617779,833420,915643,917411,944528,894145,888867,878327,825890,549339,10.09,8.21,17.04,21.2,23.89,27.36,28.93,27.98,25.35,20.28,17.48,15.99,6.82,5.34,14.33,18.21,19.75,23.17,24.58,23.53,21.3,16.69,14.52,13.67,11.4,11,15.4,20.3,23.3,26.5,29,29,26.9,21.9,18,15.8,5.2,6.5,5.4,4.8,3.8,3.7,3.6,3.8,4,4.9,4.8,5.1,88,79,30.49
550,1442,1000000,259220,151357,216366,228027,159475,27415,225533,238633,212764,267356,238134,251727,-0.9,3.79,7,8,15.32,20.63,22.46,21.3,14.09,12.02,1.64,-0.45,-1.22,1.7,4.15,4.26,9.83,13.26,13.69,12.55,8.91,8.14,-0.11,-0.42,2.9,3.8,5.3,8.1,10.9,16.2,17.5,17.6,14.4,11.8,7.3,3.9,4,5.2,6.7,7.5,7.2,7.1,7.8,7.5,7,6.9,7.2,5.7,83.99571408,63.99571408,30.49
562,20,1000000,0,27763,0,0,6450,0,52425,0,0,0,0,0,-4.44,-8.86,0.05,8.99,17.93,19.46,23.48,23.45,20.81,11.54,8.43,7.22,-5.93,-9.47,-2.11,5.55,13.39,15.87,19.41,19.2,16.83,8.48,5.86,5.27,0,0.3,1.4,7,17,20.5,24.1,26.6,23.2,13.9,8.7,5.8,7.2,7.1,6.4,7.2,6.5,5.7,4.5,4.5,4.8,5.8,5.3,5,83.5564937,74.74428253,30.49
564,80,1000000,1714166,0,2915531,2693443,1569991,2602313,2695042,2886472,2357126,1910102,2417469,1828434,16.55,15.53,22.44,25.18,26.14,28.16,28.56,28.26,27.58,24.61,23.8,22.2,13.63,12.43,18.59,21.25,21.51,23.68,24.45,24.69,23.93,20.8,20.2,19.39,16.9,15.6,22.6,25.5,27,29.4,29.3,28.2,28,25.2,23.9,21.9,8.1,8.8,7.6,7.4,7.9,6.2,6.6,5.8,6.1,7.5,7.7,7.9,86.47828373,79.16877991,30.49
589,115,1000000,202763,245662,262426,66409,124897,131040,193288,234632,110335,235316,186905,223284,-9.21,-13.85,-0.68,6.79,17.14,17.84,21.65,21.95,19.17,8.45,5.97,3.69,-10.33,-14.1,-4.96,3.29,12.06,14.35,17.68,17.68,15.3,5.82,3.62,2.16,0.8,0.4,0,3.8,12.5,14.7,18.9,20.4,18.8,10.1,6,2.9,9.4,7.7,9,8.3,8,6.6,5.8,5.3,5.6,7.5,7.7,6.9,80.03401016,72,30.49
594,10,1000000,735861,1224250,358354,584,291979,276890,320196,536754,236953,30,170389,44773,1.32,-2.66,4.95,12.15,19.45,23.18,24.8,23.76,22.35,13.86,11.29,11.09,-0.75,-4.31,2.71,9.2,15.87,20.22,21.62,20.25,19.26,11.5,9.42,9.43,4.2,2.1,6.8,15.3,21.4,25.3,27.3,27.1,24.5,17,12.9,11.2,7.7,8.4,7.4,9,8.2,7.6,5.6,5.5,6.9,8,6.1,6.8,85.32564515,77.03296276,30.49
599,40,1000000,0,12187,3836,0,3189,8919,31132,23859,11434,0,0,0,0.12,-3.23,4.09,13.01,20.56,23.45,25.34,24.56,22.67,13.81,11.22,10.55,-1.98,-5.18,1.86,8.79,16.04,19.83,21.3,19.86,18.62,10.8,8.55,8.67,3,1.4,5.1,12.8,19.7,23.5,25,24.7,23.3,16.3,12.9,10,8.3,8.8,7.5,9,7.4,7.6,5.4,5.6,6.6,7.6,6.4,6.5,85.03313711,76.92341329,30.49
