"Plant.Code","Elevation","pond_area","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Tdb","Twb","nwT"
492,5960,1e+06,850682,789581,603535,335955,963459,945155,933509,869696,693774,778126,522105,498373,0,1,6,9,11,20,21,22,19,13,4,0,-3,-3,1,4,8,14,15,14,11,7,-1,-4,3.154594038,4.81823163,7.471727875,9.968079052,10.38435933,16.14120155,17.74955475,18.794634,17.49082613,13.59469326,6.999166503,3.247476173,8,8,9,11,9,8,8,8,8,8,9,9,79.59423103,63.0934637,30.49
493,6175,1e+06,2366,5981,0,0,4637,0,0,4252,0,0,0,8238,0,1,6,9,11,20,21,22,19,13,4,0,-3,-3,1,4,8,14,15,14,11,7,-1,-4,3.105062811,4.747111713,7.41852514,9.907427016,10.32204289,16.0397267,17.64438453,18.68415455,17.29004721,13.36429133,6.867580119,3.192557006,8,8,9,11,9,8,8,8,8,8,9,9,79.54872247,63.06505882,30.49
525,6520,1e+06,1757024,1425741,1358508,921986,1280380,1306030,1303337,1592867,1444362,1681159,1612569,1344938,-5,0,4,6,10,18,19,19,15,10,0,-9,-7,-3,0,2,6,11,12,11,8,5,-3,-9,1.051981116,2.075963399,4.12439293,6.064327143,8.758145887,14.03594562,15.56079288,15.82810366,12.55289397,9.020423763,2.325388922,0.446064035,2,4,5,7,6,6,6,6,5,4,6,4,77.71034752,60.67067475,30.49
527,5580,1e+06,333835,95789,396767,392059,142475,274384,405074,403675,214319,0,7997,370615,-1,3,7,9,12,21,21,22,18,12,3,-4,-3,-1,2,3,7,12,14,13,11,7,-1,-6,2.023128907,5.104815904,9.447450586,11.35659305,13.69863768,17.79966194,19.60912035,19.99044003,17.05074106,12.68438479,5.416012215,1.293773535,4,6,7,9,7,8,7,7,7,6,7,6,82.3517251,64,30.49
533,197,1e+06,918966,829050,617779,833420,915644,917412,944528,894145,888867,878328,825890,549338,10,8,17,21,24,27,29,28,25,20,17,16,7,5,14,18,20,23,25,24,21,17,15,14,11.35464253,11.02589747,15.41785512,20.29747198,23.28060234,26.46123668,28.96289131,29.03728694,26.94214819,21.85887751,18.02936512,15.79954039,5,6,5,5,4,4,4,4,4,5,5,5,88,79,30.49
550,1442,1e+06,259220,151386,216462,228028,159475,27572,225567,238633,212764,267356,238134,251768,-1,4,7,8,15,21,22,21,14,12,2,0,-1,2,4,4,10,13,14,13,9,8,0,0,2.931586428,3.790536296,5.267581861,8.101686909,10.92123705,16.19126034,17.51830952,17.57554275,14.4244621,11.77863861,7.292714654,3.859110086,4,5,7,8,7,7,8,8,7,7,7,6,83.99571408,63.99571408,30.49
562,20,1e+06,0,27763,0,0,6450,0,52425,0,0,0,0,0,-4,-9,0,9,18,19,23,23,21,12,8,7,-6,-9,-2,6,13,16,19,19,17,8,6,5,0.019998045,0.301117101,1.377483792,7.034438123,17.00014466,20.47235871,24.12007305,26.578877,23.23156936,13.89214977,8.742838684,5.828802956,7,7,6,7,6,6,5,5,5,6,5,5,76.4556019601472,84.952792581115,30.49
564,80,1e+06,1714165,0,2915531,2693443,1569991,2602313,2695042,2886472,2357124,2498349,2621572,1828434,17,16,22,25,26,28,29,28,28,25,24,22,14,12,19,21,22,24,24,25,24,21,20,19,16.9134888,15.62818973,22.57076765,25.53349884,27.02954604,29.3744385,29.26714247,28.22171194,27.95643044,25.21551592,23.8750153,21.90778066,8,9,8,7,8,6,7,6,6,8,8,8,86.47828373,79.16877991,30.49
589,115,1e+06,203161,245818,262547,66442,125388,131119,193322,234632,110438,235317,187013,223346,-9,-14,-1,7,17,18,22,22,19,8,6,4,-10,-14,-5,3,12,14,18,18,15,6,4,2,0.788272464,0.356337132,0.049711445,3.829022636,12.5194034,14.71321815,18.86696457,20.37280065,18.84701734,10.14210751,6.005468478,2.88656411,9,8,9,8,8,7,6,5,6,7,8,7,80.03401016,72,30.49
594,10,1e+06,735861,1224250,358354,584,291979,276890,320196,536754,236953,30,170389,44773,1,-3,5,12,19,23,25,24,22,14,11,11,-1,-4,3,9,16,20,22,20,19,11,9,9,4.244434254,2.099348356,6.803872279,15.28836023,21.38944263,25.33578246,27.31959259,27.13764581,24.48029971,17.03555016,12.85362742,11.21769378,8,8,7,9,8,8,6,6,7,8,6,7,78.2397300874433,87.1535168208805,30.49
599,40,1e+06,0,12187,3836,0,3189,8919,31132,23859,11434,0,0,0,0,-3,4,13,21,23,25,25,23,14,11,11,-2,-5,2,9,16,20,21,20,19,11,9,9,2.975443362,1.445690765,5.07026578,12.76317376,19.68367732,23.52425452,24.95314206,24.74497236,23.34739728,16.26205454,12.9153969,10.03037473,8,9,8,9,7,8,5,6,7,8,6,7,85.03313711,76.92341329,30.49
602,20,1e+06,3219914,3720205,2910277,1904424,2924523,3296829,4061676,2902020,2474761,1348265,904055,1650743,1,-3,5,14,22,25,26,26,23,15,12,11,-2,-5,2,9,17,20,21,20,19,11,9,8,2.848232912,1.318652715,4.039425102,11.76493851,20.4182813,25.3097375,27.48095809,26.94072996,25.15911541,17.65442648,13.26453388,9.75017786,7,8,7,8,6,6,5,5,6,6,6,6,86.28742442,77.13623552,30.49
621,4,3850,1131370,1025909,1145139,1197866,1382082,1351776,1310635,1334297,1303010,1324842,1321888,1032730,21,20,25,27,27,29,29,29,28,27,26,25,18,16,20,22,22,24,25,25,25,23,23,22,24.19200311,21.95442392,26.62533687,28.63131303,28.67956343,30.14114663,30.95368514,29.76448315,28.27613426,27.62279883,27.31874382,25.66805286,8,9,9,8,10,7,6,6,5,8,9,9,87.58884695,79.70072986,30.49
628,2,1e+06,2097809,2941921,4487316,4190403,4081278,3879482,4300353,4227686,3947251,3617782,1521407,1778550,14,13,21,24,26,28,28,28,27,24,23,21,12,10,17,20,21,24,24,25,24,20,19,18,16.14335587,14.51001103,22.05018268,25.1533282,26.84997125,30.22091837,30.3194384,29.94634301,28.54317569,25.53705202,23.88808291,20.56535334,6,7,6,6,6,5,5,5,5,6,6,6,79.3711583522372,87.8867775981346,30.49
641,25,1e+06,1326382.5,1471747,1458051,599020,1485710.5,1921958.5,2151954.5,1427052,1675526,788332.5,256435,0,11,10,18,22,25,27,29,28,26,22,19,17,8,7,16,20,21,24,25,24,22,18,16,15,11.68056804,12.20422808,17.160421,21.67523159,24.3281967,27.77277072,29.46517514,30.5487446,28.30148095,23.33477524,18.86904153,16.91564078,8,9,8,7,7,6,6,6,6,8,7,8,81.1540991385387,88.4,30.49
643,8,1e+06,780693,698506,503227,686746,698736,682256,786289,790243,739632,829638,375885,682638,11,10,19,22,25,27,29,28,26,22,19,18,8,7,16,20,21,24,25,24,22,18,16,15,14.9680294,13.82934744,18.87589441,23.662483,24.56251532,30.28371382,31.49801056,31.01801525,28.10518747,24.34311023,22.1009507,19.25447033,7,8,7,6,6,6,5,6,6,7,7,7,81.6009019383807,87.1733569545808,30.49
663,190,1e+06,553098,512306,561303,493707,549419,432080,662933,767705,654340,289021,165388,147397,13,12,20,23,25,28,28,28,26,23,21,20,10,9,16,19,20,23,24,24,23,19,18,17,18.14924718,16.38268948,21.48664795,23.1753749,24.508748,26.73268807,26.97978771,26.95825697,25.4413,22.58807466,21.20794619,19.72723485,6,7,6,6,6,5,5,5,5,6,6,6,87.53750559,79,30.49
664,148,1e+06,82815,20788,1893,151027,178152,151596,108943,162642,195409,245770,229934,251001,13,12,20,23,24,27,28,28,26,23,21,20,10,9,16,19,20,23,24,24,23,19,18,17,17.51482015,15.74111739,21.66972012,23.62543253,25.2108843,27.88250978,28.20660446,27.85087478,26.20055551,23.14700238,21.68781257,20.19473877,6,7,6,6,6,5,5,5,5,6,6,6,87.25933568,79,30.49
673,24,1e+06,481,4273,4718,0,7919,7359,3142,2708,3863,3876,3297,1829,21,19,24,26,27,28,29,29,28,26,26,25,17,16,20,22,22,24,25,25,25,23,22,22,24.43920076,22.8137704,25.38954547,27.12307009,27.67966148,29.41395092,30.61923944,30.08364984,29.66629959,27.90147315,26.89193338,25.19007314,9,11,10,9,10,8,8,7,6,9,11,11,86.11756298,79.11756298,30.49
