eia_id,MAH_revised_9/20/22,plant_name,county2,state,name_of_wa,water_sour,water_type,water_source_aeg,nsegment_v11_old,nsegment_v11_new,WT_multsrc,which_list,min_yr,mx_yr,cont_yrs,elev_ft,pond_acres,latitude,longitude,cmplxcoo_flg,coolty_1,coolty_2,coolty_3,gen_ty,netgen_mwh,wthdrw_mgd,cnsmpt_mgd,mn_wth_mgd,mx_wth_mgd,mn_cns_mgd,mx_cns_mgd,note,water source note,
345,,Mandalay,Ventura County,CA,Pacific Ocean,SW,SA,saline,55355,55355,compare SNTemp / NOAA sst,2015,2000,2018,continuous years,12,1000000,34.20641074,-119.2509438,0,saline_once_through,null,,GAS STEAM,247656,23,0,10,169,0,0,,,
350,,Ormond Beach,Ventura County,CA,Pacific Ocean,SW,SA,saline,55330,NOAA saline,,2015,2000,2020,continuous years,7.31,1000000,34.12968338,-119.1685669,0,saline_once_through,null,,GAS STEAM,405013,39,0,18,288,0,0,,,
356,,AES Redondo Beach LLC,Los Angeles County,CA,Pacific Ocean,SW,SA,saline,55955,NOAA saline,,2015,2000,2020,continuous years,16.13,1000000,33.85075455,-118.3953847,0,saline_once_through,null,,GAS STEAM,486888,52,0,24,386,0,0,,,
358,,Mountainview Generating Station,San Bernardino County,CA,Wells,GW,OT,gw,56445,56445,,2015,2000,2020,missing 3 years,1110.1,1000000,34.07949236,-117.2414784,0,tower_recirculating,null,,NGCC,5750409,4,2.72,2,7,1.88,3.26,,,
360,,,San Diego County,CA,Pacific Ocean,,,saline,55940,NOAA saline,,all_verified,2000,2013,continuous years,16.46,1000000,33.36890643,-117.5549795,0,saline_once_through,null,,,,,,,,,,,,
371,,Columbia Generating Station,Benton County,WA,Columbia River,SW,FR,sw,59976,52879,,2015,2000,2020,continuous years,446.94,1000000,46.47118722,-119.3346601,0,tower_recirculating,null,,NUCLEAR,8160912,14,9.89,8,25,7.57,11.2,,,
375,,Magnolia,Los Angeles County,CA,Municipality,,,municipal,56073,56073,,all_verified,2000,2002,continuous years,565.6,1000000,34.178056,-118.315556,0,tower_recirculating,null,,,,,,,,,,,,
377,,Grayson,Los Angeles County,CA,Municipality,PD,BE,reclaimed ww,56073,56073,,2015,2000,2020,continuous years,467.3,1000000,34.15613618,-118.2786432,0,tower_recirculating,null,,COMPLEX,152604,0,0.23,0,1,0.17,0.26,,,
384,,Joliet 29,Will County,IL,Desplaines River,SW,FR,sw,20730,20730,,2015,2000,2020,continuous years,514.27,1000000,41.4946911,-88.12371689,1,river_once_through_fresh,tower_recirculating,,COAL,5466753,356,5.7,6,3760,4.09,7.22,,,
389,,El Centro,Imperial County,CA,Dogwood Canal,SW,OT,sw,56307,56307,,2015,2000,2020,continuous years,-48.12,1000000,32.80204148,-115.5397085,0,tower_recirculating,null,,COMPLEX,998997,1,0.67,0,2,0.45,0.82,,,
399,,Harbor,Los Angeles County,CA,Pacific Ocean,SW,SA,saline,56079,56079,compare SNTemp / NOAA sst,2015,2000,2020,missing 2 years,12.48,1000000,33.76908095,-118.2661469,0,saline_once_through,null,,NGCC,59734,5,0,2,40,0,0,,,
400,,Haynes,Los Angeles County,CA,Pacific Ocean,SW,SA,saline,56109,56109,compare SNTemp / NOAA sst,2015,2000,2020,continuous years,14.17,1000000,33.76485063,-118.0991871,0,saline_once_through,null,,COMPLEX,2668567,114,0,52,845,0,0,,,
404,,Scattergood,Los Angeles County,CA,Pacific Ocean,SW,SA,saline,55955,NOAA saline,,2015,2000,2020,continuous years,38.08,1000000,33.91738812,-118.4271947,0,saline_once_through,null,,GAS STEAM,1278120,136,0,62,1010,0,0,,,
408,,Valley (CA),Los Angeles County,CA,Municipality,OT,OT,municipal,56070,56070,,2015,2000,2020,continuous years,925.09,1000000,34.2447062,-118.3922837,0,tower_recirculating,null,,NGCC,1010843,1,0.45,0,1,0.32,0.54,,,
420,,Broadway (CA),Los Angeles County,CA,Municipality,-nr-,-nr-,municipal,56072,56072,,2015,2000,2016,missing 2 years,755.13,1000000,34.1259952,-118.1477677,0,tower_recirculating,null,,GAS STEAM,21297,0,0.03,0,0,0.02,0.03,,,
422,,,Los Angeles County,CA, ,,,municipal,56072,56072,,all_verified,2001,2020,missing 13 years,760.26,1000000,34.126,-118.1494,0,tower_recirculating,null,,,,,,,,,,,"assumed municipal, looks like the name is Pasadena water and power",
460,,,Pueblo County,CO,Arkansas River,,,sw,34429,34429,,all_verified,2000,2012,continuous years,4664.89,4.877886949,38.26632712,-104.6152742,1,tower_recirculating,pond_recirculating,,,,,,,,,,,,
462,,,Fremont County,CO,Arkansas River,,,sw,34415,34415,,all_verified,2000,2012,continuous years,5353.71,1000000,38.433989,-105.253204,0,tower_recirculating,null,,,,,,,,,,,,
465,,,Denver County,CO,South Platte River,,,sw,24222,24222,,all_verified,2000,2013,continuous years,5263.82,1000000,39.66975596,-105.0031686,0,tower_recirculating,null,,,,,,,,,,,,
468,,,Mesa County,CO,Colorado River,,,sw,43358,43358,,all_verified,2000,2010,continuous years,4778.28,1000000,39.148626,-108.317961,0,river_once_through_fresh,null,,,,,,,,,,,,
469,,Cherokee,Adams County,CO,South Platte River,SW,FR,sw,24282,24282,,2015,2000,2020,continuous years,5130.88,1000000,39.80727005,-104.9650559,0,tower_recirculating,null,,COMPLEX,3192480,4,2.78,2,7,1.91,3.47,,,
470,,Comanche (CO),Pueblo County,CO,Arkansas River,SW,FR,sw,34442,34442,,2015,2000,2020,continuous years,4835.07,1000000,38.2081363,-104.5757024,1,tower_recirculating,dry_cooling,,COAL,8636016,8,5.36,5,13,4.58,5.74,,,
477,,Valmont,Boulder County,CO,South Boulder Creek,SW,FR,sw,24501,24501,,2015,2000,2017,continuous years,5229.21,530.9580939,40.01921473,-105.2013762,0,pond_recirculating,null,,COAL,1057147,1,1.13,1,1,0.97,1.29,,,
478,,,Denver County,CO,South Platte River,,,sw,24188,24188,,all_verified,2000,2015,continuous years,5194.74,1000000,39.73713552,-105.0164484,0,tower_recirculating,null,,,,,,,,,,,,
492,,Martin Drake,El Paso County,CO,Municipality,PD,BE,reclaimed ww,34664,34664,,2015,2000,2020,continuous years,5958.05,1000000,38.82503095,-104.8323201,0,tower_recirculating,null,,COAL,1387318,2,1.68,1,4,1.33,1.94,,,
493,,George Birdsall,El Paso County,CO,Municipality,-nr-,-nr-,municipal,34658,34658,,2015,2000,2020,continuous years,6169.53,1000000,38.88136924,-104.8172158,0,tower_recirculating,null,,GAS STEAM,2549,0,0,0,0,0,0.01,,,
511,,Trinidad,Las Animas County,CO,Municipality,,,municipal,34374,34374,,all_verified,2000,2002,continuous years,6029.72,1000000,37.178979,-104.487492,0,tower_recirculating,null,,,,,,,,,,,,
525,,Hayden,Routt County,CO,Yampa River,SW,FR,sw,43032,43032,,2015,2000,2020,continuous years,6514.53,1000000,40.48695498,-107.1854164,0,tower_recirculating,null,,COAL,2877284,5,3.24,3,8,2.64,3.58,,,
527,,Nucla,Montrose County,CO,San Miguel River,SW,FR,sw,44610,44610,,2015,2000,2019,continuous years,5570.33,1000000,38.23846312,-108.5080871,0,tower_recirculating,null,,COAL,416150,1,0.56,0,1,0.43,0.66,,,
533,,McWilliams,Covington County,AL,Conecuh River,-nr-,-nr-,sw,4826,4826,,2015,2000,2020,continuous years,189.19,1000000,31.40091791,-86.47916301,0,tower_recirculating,null,,NGCC,4001221,3,2.14,2,5,1.87,2.37,,,
544,,Devon Station,New Haven County,CT,Housatonic River,,,sw,1225,1225,compare SNTemp / NOAA sst,all_verified,2000,2007,missing 2 years,7.66,1000000,41.209797,-73.108976,0,saline_once_through,null,,,,,,,,,,,,
546,,Montville Station,New London County,CT,Thames River,SW,SA,saline,860,860,compare SNTemp / NOAA sst,2015,2000,2020,continuous years,5.45,1000000,41.4278778,-72.10096198,0,saline_once_through,null,,OIL,13241,2,0,1,13,0,0,,,
548,,,Fairfield County,CT,Long Island Sound,,,saline,1244,NOAA saline,,all_verified,2000,2013,continuous years,8.39,1000000,41.07302204,-73.4111042,0,saline_once_through,null,,,,,,,,,,,,
550,,Kettle Falls Generating Station,Stevens County,WA,Wells,GW,-nr-,gw,60065,52968,,2015,2000,2020,continuous years,1447.18,1000000,48.62032544,-118.1105825,0,tower_recirculating,null,,BIOMASS,320517,1,0.45,0,1,0.35,0.5,,,
562,,Middletown,Middlesex County,CT,Connecticut River,SW,FR,sw,56753,700,,2015,2000,2020,continuous years,24.8,1000000,41.55492973,-72.57927478,1,river_once_through_fresh,tower_recirculating,,OIL,422774,44,0.49,20,328,0.39,0.6,,,
563,,South Meadow,Hartford County,CT,Connecticut River,,,sw,56754,701,,all_verified,2000,2002,continuous years,25.37,1000000,41.7495,-72.6524,0,river_once_through_fresh,null,,,,,,,,,,,,
564,,Stanton Energy Center,Orange County,FL,Eastern Water Reclaimation Fac,PD,BE,reclaimed ww,7393,7393,,2015,2000,2020,continuous years,75.94,1000000,28.48246916,-81.1665117,0,tower_recirculating,null,,NGCC,5199413,8,5.74,5,14,4.5,6.96,,,
566,,Millstone,New London County,CT,Long Island Sound,SW,SA,saline,860,NOAA saline,,2015,2000,2020,continuous years,20.79,1000000,41.31145417,-72.16790097,0,saline_once_through,null,,NUCLEAR,17410917,1810,0,825,13600,0,0,,,
568,,Bridgeport Station,Fairfield County,CT,Bridgeport Harbor,SW,SA,saline,1237,NOAA saline,,2015,2000,2020,continuous years,9.97,1000000,41.17140761,-73.18400417,0,saline_once_through,null,,COAL,601853,55,0,25,417,0,0,,,
589,,J C McNeil,Chittenden County,VT,Wells,GW,-nr-,gw,1964,1964,,2015,2000,2020,continuous years,114.64,1000000,44.49310505,-73.20840941,0,tower_recirculating,null,,BIOMASS,290370,1,0.42,0,1,0.36,0.48,,,
593,,Edge Moor,New Castle County,DE,Delaware River,SW,SA,saline,4188,4188,compare SNTemp / NOAA sst,2015,2000,2020,continuous years,9.19,1000000,39.73828156,-75.50349563,0,saline_once_through,null,,GAS STEAM,585646,67,0,30,492,0,0,"try wind coefficients of river, note that water is saline",,
594,,Indian River Generating Station,Sussex County,DE,Indian River,SW,SA,saline,2981,2981,,2015,2000,2020,continuous years,8.78,1000000,38.58535191,-75.23500794,0,tower_recirculating,null,,COAL,602337,1,0.89,1,2,0.8,0.94,,,
599,,McKee Run,Kent County,DE,Municipality,GW,FR,municipal,2686,2686,,2015,2000,2020,continuous years,36.34,1000000,39.17465564,-75.54489893,0,tower_recirculating,null,,GAS STEAM,11557,0,0.02,0,0,0.02,0.02,,,
602,,Brandon Shores,Anne Arundel County,MD,Patapsco River,SW,SA,sw,3887,3887,,2015,2000,2020,continuous years,33.52,1000000,39.18093561,-76.53864143,0,tower_recirculating,null,,COAL,4962679,9,6.37,6,15,5.49,6.95,,,
603,,,District of Columbia,DC,Anacostia River,,,sw,4127,4127,,all_verified,2000,2012,continuous years,17.44,1000000,38.8989,-76.95936,0,tower_recirculating,null,,,,,,,,,,,,
