"Plant.Code","CD_january","CD_february","CD_march","CD_april","CD_may","CD_june","CD_july","CD_august","CD_september","CD_october","CD_november","CD_december","percentAllocation","cooling"
6137,1447167,1197887,1540005,1419556,1465219,1479203,1467174,1432370,1428130,397501,953577,795945,100,"tower"
6139,31622.13,22471.26,26194.42,14616.63,26675.93,24885.32,26099.13,25993.14,22710.14,14662.79,25688.22,15739.48,1,"tower"
6165,4786438,4140117,2772872,3013461,3136635,3589291,4305540,4461563,4176489,4464694,4352742,4861599,100,"tower"
6166,4971877,3979312,3668036,5027197,3645073,1629888,6592036,3249877,3829837,1775655,3353862,268398,100,"tower"
6177,912187,617001,775296,4835,218217,1085628,1714234,1753208,1420855,1550699,895966,849396,100,"tower"
6183,1673251,1458492,329415,706804,1239749,1691983,1562931,1624771,1209229,1122337,852888,1356798,100,"tower"
6193,2011879,1876048,1716376,1149088,1372042,1731685,1945734,2338227,1729754,1515994,1802093,1623183,100,"tower"
6194,1343535,1039605,1157249,595762,989291,1352008,1724541,1877517,1764886,1099967,1690940,1362853,100,"tower"
6195,1479458,930618,314542,338393,647014,900249,1009046,832513,1089022,838157,824203,384763,100,"tower"
6204,5355865,4695795,3320019,3712998,3429855,2895819,4092046,4829952,4253819,2376916,2225342,4637407,100,"tower"
6248,1706326,1432753,1225386,3596,130477,1159076,1585112,1683748,1376128,1457376,1176723,1670143,100,"tower"
6249,0,834.2,7772.1,25431.4,47329,29791.2,58592,86473.9,49832.7,21108.2,28915.1,5224.3,10,"tower"
6249,0,0,137532,269469,240609,185168,170821,226737,259757,233940,118818,0,100,"tower"
6250,1505250,280555,425822,0,1266284,1383993,1043256,1148642,1813938,429869,209916,848082,100,"tower"
6254,2171789,2202929,1952144,448653,2019466,1838768,2508693,1834630,1581761,1646779,1558868,1989029,100,"tower"
6257,6585186,3908204,5846347,6206505,8701486,7448206,8706650,7436689,6008254,4685861,4696618,3515969,100,"tower"
6264,5182716,1778114,3947223,4536763,4416259,4008016,4339640,3703751,4231378,2420162,1877860,2770477,100,"tower"
6285,84059,91357,97812,97304,92476,74677,91400,86918,91337,103124,96015,107953,100,"tower"
6358,452,3978,3629,494,107,1420,21523,14207,18102,3556,0,939,100,"tower"
