month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
August,NA^ST,2013,0.3265601770501885,0.0,6.827764046569833,2013-08-01
September,NA^ST,2013,0.32656017399986215,0.0,6.827764142217204,2013-09-01
October,NA^ST,2013,0.3265601730660439,0.0,6.827764171498421,2013-10-01
November,NA^ST,2013,0.3265601722766017,0.0,6.8277641962525175,2013-11-01
December,NA^ST,2013,0.3265601729459929,0.0,6.827764175262793,2013-12-01
January,NA^ST,2014,0.3262363322759497,0.0,6.83792874543334,2014-01-01
February,NA^ST,2014,0.3262363313793477,0.0,6.83792877360343,2014-02-01
March,NA^ST,2014,0.32623633116676254,0.0,6.837928780282584,2014-03-01
April,NA^ST,2014,0.3262363317264685,0.0,6.837928762697339,2014-04-01
May,NA^ST,2014,0.32623632985828377,0.0,6.837928821393318,2014-05-01
June,NA^ST,2014,0.32623633069149277,0.0,6.837928795214954,2014-06-01
July,NA^ST,2014,0.32623632908937755,0.0,6.837928845551368,2014-07-01
August,NA^ST,2014,0.3262363301692613,0.0,6.8379288116228,2014-08-01
September,NA^ST,2014,0.3262363315588709,0.0,6.837928767963041,2014-09-01
October,NA^ST,2014,0.3262363283634573,0.0,6.837928868358856,2014-10-01
November,NA^ST,2014,0.3262363294569309,0.0,6.8379288340033115,2014-11-01
December,NA^ST,2014,0.3262363302296792,0.0,6.837928809724548,2014-12-01
January,NA^ST,2015,0.32625546094972313,0.0,6.837327782180185,2015-01-01
February,NA^ST,2015,0.32625545849547255,0.0,6.837327859280562,2015-02-01
March,NA^ST,2015,0.32625545935761335,0.0,6.837327832196373,2015-03-01
April,NA^ST,2015,0.32625545930338595,0.0,6.837327833899932,2015-04-01
May,NA^ST,2015,0.32625545933794325,0.0,6.837327832814314,2015-05-01
June,NA^ST,2015,0.32625546122055166,0.0,6.837327773672095,2015-06-01
July,NA^ST,2015,0.32625545967610353,0.0,6.8373278221909946,2015-07-01
August,NA^ST,2015,0.32625546095410013,0.0,6.837327782042681,2015-08-01
September,NA^ST,2015,0.3262554619448328,0.0,6.837327750918777,2015-09-01
October,NA^ST,2015,0.32625546075131184,0.0,6.837327788413282,2015-10-01
November,NA^ST,2015,0.32625546032882347,0.0,6.837327801685771,2015-11-01
December,NA^ST,2015,0.32625545931784766,0.0,6.837327833445616,2015-12-01
January,NA^ST,2016,0.326255196763934,0.0,6.837336081593574,2016-01-01
February,NA^ST,2016,0.32625519580372714,0.0,6.8373361117585585,2016-02-01
March,NA^ST,2016,0.32625519459447677,0.0,6.837336149747265,2016-03-01
April,NA^ST,2016,0.32625519528438,0.0,6.837336128073895,2016-04-01
May,NA^ST,2016,0.3262551948167369,0.0,6.837336142764945,2016-05-01
June,NA^ST,2016,0.3262551964783298,0.0,6.837336090565857,2016-06-01
July,NA^ST,2016,0.3262551940404074,0.0,6.837336167153405,2016-07-01
August,NA^ST,2016,0.32625519482943965,0.0,6.837336142365886,2016-08-01
September,NA^ST,2016,0.32625519335512665,0.0,6.83733618868156,2016-09-01
October,NA^ST,2016,0.32625519547759096,0.0,6.837336122004156,2016-10-01
November,NA^ST,2016,0.32625519573656064,0.0,6.8373361138686,2016-11-01
December,NA^ST,2016,0.3262551983878056,0.0,6.837336030579502,2016-12-01
January,NA^ST,2017,0.326235813405175,0.0,6.837945047716078,2017-01-01
February,NA^ST,2017,0.32623581317112915,0.0,6.837945055069522,2017-02-01
March,NA^ST,2017,0.3262358117704933,0.0,6.837945099075853,2017-03-01
April,NA^ST,2017,0.32623581465609436,0.0,6.837945008413665,2017-04-01
May,NA^ST,2017,0.3262358145951128,0.0,6.837945010329635,2017-05-01
June,NA^ST,2017,0.32623581042248256,0.0,6.8379451414287615,2017-06-01
July,NA^ST,2017,0.32623581058131723,0.0,6.837945136438363,2017-07-01
August,NA^ST,2017,0.32623581179667277,0.0,6.837945098253322,2017-08-01
September,NA^ST,2017,0.32623581169402127,0.0,6.837945101478514,2017-09-01
October,NA^ST,2017,0.32623581398672785,0.0,6.837945029444371,2017-10-01
November,NA^ST,2017,0.32623580996751333,0.0,6.837945155723361,2017-11-01
December,NA^ST,2017,0.32623581238606436,0.0,6.837945079735335,2017-12-01
January,NA^ST,2018,0.32637558142528283,0.0,6.8335555816926785,2018-01-01
February,NA^ST,2018,0.32637558064084066,0.0,6.833555606317824,2018-02-01
March,NA^ST,2018,0.326375580511188,0.0,6.833555610387869,2018-03-01
April,NA^ST,2018,0.32637557749474677,0.0,6.833555705079748,2018-04-01
May,NA^ST,2018,0.32637557949679935,0.0,6.833555642231473,2018-05-01
June,NA^ST,2018,0.32637558075614637,0.0,6.833555602698156,2018-06-01
July,NA^ST,2018,0.32637558169660225,0.0,6.833555573175442,2018-07-01
August,NA^ST,2018,0.3263755801341753,0.0,6.833555622223022,2018-08-01
September,NA^ST,2018,0.32637558139173817,0.0,6.833555582745709,2018-09-01
October,NA^ST,2018,0.3263755801486543,0.0,6.833555621768498,2018-10-01
November,NA^ST,2018,0.3263755813232648,0.0,6.833555584895222,2018-11-01
December,NA^ST,2018,0.32637558067726313,0.0,6.8335556051744515,2018-12-01
January,NA^ST,2019,0.32678211900647347,0.0,6.820809463891621,2019-01-01
February,NA^ST,2019,0.3267821202047653,0.0,6.820809426368479,2019-02-01
March,NA^ST,2019,0.32678211952266384,0.0,6.82080944772771,2019-03-01
April,NA^ST,2019,0.3267821219660311,0.0,6.8208093712164475,2019-04-01
May,NA^ST,2019,0.3267821248956418,0.0,6.820809279479033,2019-05-01
June,NA^ST,2019,0.32678212103562504,0.0,6.820809400351055,2019-06-01
July,NA^ST,2019,0.3267821186949393,0.0,6.8208094736469596,2019-07-01
August,NA^ST,2019,0.32678212231498943,0.0,6.820809360289217,2019-08-01
September,NA^ST,2019,0.32678211859434425,0.0,6.8208094767969785,2019-09-01
October,NA^ST,2019,0.3267821194392924,0.0,6.820809450338389,2019-10-01
November,NA^ST,2019,0.32678211901421267,0.0,6.820809463649278,2019-11-01
December,NA^ST,2019,0.326782120920801,0.0,6.82080940394664,2019-12-01
January,NA^ST,2020,0.32664647626112403,0.0,6.825058725613979,2020-01-01
February,NA^ST,2020,0.3266464766390475,0.0,6.8250587137699075,2020-02-01
March,NA^ST,2020,0.3266464778680814,0.0,6.825058675252144,2020-03-01
April,NA^ST,2020,0.3266464759753467,0.0,6.825058734570207,2020-04-01
May,NA^ST,2020,0.3266464766093467,0.0,6.825058714700727,2020-05-01
June,NA^ST,2020,0.32664647995536905,0.0,6.825058609836817,2020-06-01
July,NA^ST,2020,0.3266464787751747,0.0,6.825058646823954,2020-07-01
August,NA^ST,2020,0.32664647621500026,0.0,6.825058727059495,2020-08-01
September,NA^ST,2020,0.32664647699225496,0.0,6.825058702700431,2020-09-01
October,NA^ST,2020,0.3266464776920998,0.0,6.825058680767383,2020-10-01
November,NA^ST,2020,0.32664647727741225,0.0,6.825058693763639,2020-11-01
December,NA^ST,2020,0.32664647677375486,0.0,6.825058709548198,2020-12-01
