month,gen_type,year,thermal_efficiency-Weighted_average_across_all_bogens,boiler_efficiency,CD/MWh-Weighted_average_across_all_bogens,date
December,biomass^ST,2016,0.20042369028194248,0.7813136718241938,9.549095728262415,2016-12-01
January,biomass^ST,2017,0.19459585166437476,0.7806433746728783,9.92550809053226,2017-01-01
February,biomass^ST,2017,0.19353797407698647,0.7808315006160806,10.001727350604117,2017-02-01
March,biomass^ST,2017,0.1921938197939513,0.7805697456010694,10.09088930942501,2017-03-01
April,biomass^ST,2017,0.19308750360235716,0.7803718894279444,10.02489192827635,2017-04-01
May,biomass^ST,2017,0.19343593285771826,0.7807298863784791,10.00700755654617,2017-05-01
June,biomass^ST,2017,0.1920856117389252,0.7808932917529979,10.104244220239504,2017-06-01
July,biomass^ST,2017,0.194164904251987,0.7808903638383305,9.95944932283427,2017-07-01
August,biomass^ST,2017,0.19385745846013752,0.7809730140708491,9.982109594642232,2017-08-01
September,biomass^ST,2017,0.19199577955851196,0.7806456341596125,10.1061696225645,2017-09-01
October,biomass^ST,2017,0.19203833029124773,0.7803111998691284,10.097230161002019,2017-10-01
November,biomass^ST,2017,0.19919912679459678,0.780670082736155,9.617748037942556,2017-11-01
December,biomass^ST,2017,0.19859399062955976,0.7808179427278632,9.659993252712326,2017-12-01
January,biomass^ST,2018,0.1967195463732274,0.7804855161610382,9.778780418095016,2018-01-01
February,biomass^ST,2018,0.1985659272613746,0.7805604004884122,9.657414101826138,2018-02-01
March,biomass^ST,2018,0.19347638179939686,0.780715946920843,10.003955092585867,2018-03-01
April,biomass^ST,2018,0.18997127986548265,0.7807590600492382,10.252267065075616,2018-04-01
May,biomass^ST,2018,0.18670757025720766,0.7801914819605432,10.480746809868139,2018-05-01
June,biomass^ST,2018,0.19189704270096397,0.7803075826268693,10.107110423647551,2018-06-01
July,biomass^ST,2018,0.19747641289499904,0.7808650618458777,9.734780443193984,2018-07-01
August,biomass^ST,2018,0.19673729160966993,0.7808357317387432,9.783664910830117,2018-08-01
September,biomass^ST,2018,0.19688840758382536,0.7810822831975321,9.77781089784612,2018-09-01
October,biomass^ST,2018,0.19525203533084193,0.7811455320170912,9.889457352199045,2018-10-01
November,biomass^ST,2018,0.19729435765557193,0.781115678307718,9.751249623438477,2018-11-01
December,biomass^ST,2018,0.19574935604980637,0.7811105408119493,9.855053356384829,2018-12-01
January,biomass^ST,2019,0.19659791650668604,0.7811073908090024,9.797733656235488,2019-01-01
February,biomass^ST,2019,0.199511407775513,0.781082272317893,9.60440374978993,2019-02-01
March,biomass^ST,2019,0.19527227471994563,0.7809235020354558,9.884201367138683,2019-03-01
April,biomass^ST,2019,0.18356266121143203,0.7810863346067682,10.735395512763759,2019-04-01
May,biomass^ST,2019,0.19395069589006933,0.7810306219671247,9.97668242790506,2019-05-01
June,biomass^ST,2019,0.19412960135506635,0.7810625829936615,9.964905904326232,2019-06-01
July,biomass^ST,2019,0.1950888300355606,0.7810540445877402,9.898983229046218,2019-07-01
August,biomass^ST,2019,0.19405917476641316,0.7803584889446136,9.957379191403064,2019-08-01
September,biomass^ST,2019,0.1974871938806621,0.7809771747777466,9.736002453149169,2019-09-01
October,biomass^ST,2019,0.1951732867986086,0.7811044648596334,9.894106878790351,2019-10-01
November,biomass^ST,2019,0.19809999752701368,0.7815832568887645,9.705769539163438,2019-11-01
December,biomass^ST,2019,0.1932136614767325,0.7811456379246513,10.029789563472978,2019-12-01
January,biomass^ST,2020,0.19666554703064873,0.7812125591301431,9.795018168280405,2020-01-01
February,biomass^ST,2020,0.19584401822477981,0.781054868150208,9.84767499971922,2020-02-01
March,biomass^ST,2020,0.19678863170572924,0.781252085807698,9.7874423068948,2020-03-01
April,biomass^ST,2020,0.1970397461010577,0.7812006612764386,9.769732267926988,2020-04-01
May,biomass^ST,2020,0.19255132080762577,0.7812372223727974,10.077644321543367,2020-05-01
June,biomass^ST,2020,0.19390891486067183,0.7811736887883902,9.982086987836132,2020-06-01
July,biomass^ST,2020,0.19312571604769582,0.781235722021536,10.037499973054382,2020-07-01
August,biomass^ST,2020,0.19518433402758112,0.7806148110954596,9.884793780481326,2020-08-01
September,biomass^ST,2020,0.19368078913808742,0.7813480934577648,10.000932386486024,2020-09-01
October,biomass^ST,2020,0.19452006347284048,0.7815963944251206,9.94742051374977,2020-10-01
November,biomass^ST,2020,0.19329353050485115,0.7815963944251207,10.032187101792344,2020-11-01
December,biomass^ST,2020,0.1958192041441658,0.7814282793335636,9.855860846567886,2020-12-01
