,Plant_ID,WB_01,WB_02,WB_03,WB_04,WB_05,WB_06,WB_07,WB_08,WB_09,WB_10,WB_11,WB_12,DB_01,DB_02,DB_03,DB_04,DB_05,DB_06,DB_07,DB_08,DB_09,DB_10,DB_11,DB_12
336,2527,-8.305520210980198,-11.842540662673526,-3.5922909111593233,4.745157415387327,13.212762586075039,15.825910065709778,17.804452954844958,17.535439061008145,16.475807213642163,7.577004628298309,5.4312342699326415,3.9190957140229488,-7.6036888214642335,-11.731045383130278,-2.2770742952120875,8.022334711221715,17.525244444059926,18.5450322180363,21.309783037768362,20.97163116821001,19.712112787820203,10.017973993535813,7.728477562558146,5.3123948293122885
337,2535,-8.396313683751977,-11.910107027105914,-3.676129327569622,4.715943269841592,13.225889913644734,15.844453566753481,17.832104685947332,17.581043533900388,16.47000541043769,7.550032088536121,5.436615386158424,3.902681855120551,-7.695986119875263,-11.848093511041439,-2.407693969227525,7.957610659587453,17.516630171339568,18.535591733085294,21.29968325699867,21.0037226838021,19.701827773048638,9.965259073562462,7.69614222416008,5.270053356196861
338,2539,-8.544051890956885,-11.836657045999567,-3.8363447238800155,4.320476704613694,12.963677641894183,15.216118414442724,17.791294928090426,17.65657768771859,15.49831445774704,6.770584924895975,4.401294928090424,3.4165438912809205,-7.36840418045349,-11.095186878073171,-1.9619750030455765,7.819926642393383,17.53240121137959,18.326622914819716,21.63380929418866,21.652702102835676,19.10662891549408,9.187128816176896,6.805612513085544,5.060799391158716
339,2549,-7.6456884160178875,-11.911289284674345,-3.051369655410139,4.773761426871353,12.883761426871352,15.664515753142314,17.400390081259708,16.86466018739201,16.079987180057216,7.891086412127887,5.225644961965604,4.22730804704143,-7.123226911361954,-11.72994764791437,-1.6943496009164882,7.906304384413929,16.690099267053355,18.13341652107164,20.703209530252863,20.162448684713148,19.131924806744827,10.490512797533265,7.696600635738191,5.628108206129266
340,2554,-7.23300126261961,-12.023640354460262,-2.745797363729527,4.858148359591796,12.978915802911706,15.867777565607627,17.611427144716842,17.108068335506495,16.23646802374357,8.438742635865616,5.523435192950566,4.490821483535693,-6.843055600607653,-12.134933732648268,-1.7610250803315302,7.6125704585619,16.162886914558033,18.025942088875468,20.586763870183418,20.221249531790523,19.032693137955665,10.865038718768359,7.819086809699422,5.765355472536745
341,2589,-8.56279963036407,-11.880250957435925,-3.9409447316275728,4.474488395812955,13.077009516523004,15.643369114296831,17.66840132235421,17.485703409162998,16.32922875526871,7.362968194913681,5.366867629868603,3.7881932141538828,-7.798802963421516,-11.716818663410075,-2.7893467756659387,7.589027716154331,17.224145622682904,18.20636666685978,20.954460843594855,20.864282245682528,19.452269157067253,9.704445546577356,7.462419119014477,5.177478879289952
342,2594,-8.562796697874045,-11.865992096549375,-3.9512422605032604,4.457067507293772,13.060972015093098,15.62156986946185,17.648519308856567,17.469107360144147,16.3171617949592,7.350209541059536,5.359485095216748,3.780368531714453,-7.792640521724073,-11.68474072806024,-2.8025224538250195,7.565857645971393,17.19848972418063,18.17744448252306,20.924167413768423,20.845894994378998,19.43087772742767,9.68922618788651,7.446245959280611,5.176095492200674
343,2625,-5.092277167463165,-8.537046156219876,-1.4476493651287266,6.183499483546111,13.797166169984505,16.56715881090476,19.16207093986587,18.540427548116945,16.687971992403387,8.609454441519894,6.276301729222216,5.866449582333751,-3.204123091436246,-7.24063104825576,1.1863909639903494,10.273386104804208,18.650423852743803,20.520085539394994,24.05709547965422,23.87568173541934,21.285012467801465,12.226297016315076,9.353238251692673,8.101765807828514
344,2682,-6.984692924226456,-11.696664591414601,-2.517547923802114,5.099810113741258,13.132059471449663,16.026083413800222,17.54632494116188,17.02789506524843,16.21498704429368,8.496324579371938,5.514094773552798,4.508055080988365,-6.3094580599313295,-11.36529503400628,-1.1026633232956045,8.22565061990364,16.755159530474412,18.619023095295095,20.986687313601355,20.707641477191107,19.579817243144916,11.26239869302885,8.261996131441022,5.969054346090082
345,2706,1.8754666083648535,-0.04924140304342734,8.338293753853524,12.800534091717598,16.931944135764606,20.87590060761097,21.793492041266216,20.59714248748526,18.39171963052563,12.431304547925059,9.835242103125879,10.275579161881456,5.159718809132371,3.1850888858770436,12.568118123415806,17.148227244697026,22.05764037276447,25.970430158140378,27.439513220538934,26.021921786883684,22.548963773027108,15.836585638016388,12.812202568880961,12.581600341154177
346,2712,0.5218933228396062,-2.2817475468600987,5.945615850601478,11.720191327893925,16.986173055528617,21.093119224393664,22.120558408647323,20.36864896629085,18.822480361404352,11.806025130106448,9.346772604493923,9.931158358852688,3.1775638435475217,0.5316278131138402,9.784176519699683,15.492506546879962,20.89521853497041,25.31904668316198,25.875189503812926,24.69955753369458,22.105940225122342,14.669852877057952,12.007330210661124,11.771272696234345
