"Plant design conditions from EIA 860 report. User parameters (Min T,Min approach, and Max approach) specifies consitions used in model calculations",,,,,,,,,,,,
Days in month,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design
31,28,31,30,31,30,31,31,30,31,30,31,30
Min T,Min approach,max approach,,,,,,,,,,
4.44444,5,15,,,,,,,,,,
Plant Characteristics,,,DC,,,,,,,,,
Plant_ID,Elevation,Pond_Area,Tdb,Twb,nwT,,,,,,,
10371,40,0,82.20562267,66.98189021,30.49,,,,,,,
10373,237,0,96.23351368,72.10199391,30.49,,,,,,,
10377,40,0,87.62916379,78.21896556,30.49,,,,,,,
10379,568,0,86,76.22092105,30.49,,,,,,,
10381,78,0,88.25895899,79,30.49,,,,,,,
10384,108,0,87.64758607,78.02191513,30.49,,,,,,,
10395,815,0,84.42726912,71.81667785,30.49,,,,,,,
10405,304,0,96.16219133,72.27628567,30.49,,,,,,,
10435,19,0,85.53915369,76.53915369,30.49,,,,,,,
10437,1946,0,94.97051957,70.98862266,30.49,,,,,,,
10438,1946,0,94.95245789,70.97281379,30.49,,,,,,,
10439,2510,0,93.93584754,68.7241566,30.49,,,,,,,
10440,2495,0,93.93463633,68.7175173,30.49,,,,,,,
10441,2494,0,93.91485758,68.74143819,30.49,,,,,,,
10442,2480,0,93.91348114,68.73284773,30.49,,,,,,,
10443,2468,0,93.9114433,68.72586242,30.49,,,,,,,
10444,2055,0,93.68787999,69.14311897,30.49,,,,,,,
10446,2086,0,93.69162391,69.10762155,30.49,,,,,,,
10469,1872,0,92.93236736,69.62614386,30.49,,,,,,,
10471,704,0,87.40785555,72.22199722,30.49,,,,,,,
10472,668,0,81.63419013,70.75965035,30.49,,,,,,,
10473,275,0,80.89673473,70.49897978,30.49,,,,,,,
10478,1229,0,79.00914555,65.42203377,30.49,,,,,,,
10495,455,0,80.30005898,72.44483412,30.49,,,,,,,
10502,120,0,87.53715198,68.65430224,30.49,,,,,,,
10525,31,0,87.77180935,79,30.49,,,,,,,
10566,4,0,85.89247456,76.89247456,30.49,,,,,,,
