"bogencoo","LAKE..OF..OC..RC.","RIVER..OF.","POND..OC..RC.","TOWER..RF..RI..RN.","DC","OS"
"combogencoo^1912^1",NA,1,NA,NA,NA,NA
"combogencoo^1915^1",NA,0.99,NA,0.01,NA,NA
"combogencoo^1922^1",NA,0.7,NA,0.3,NA,NA
"combogencoo^1925^1",NA,0.95,NA,0.05,NA,NA
"combogencoo^1926^1",NA,1,NA,NA,NA,NA
"combogencoo^1927^1",NA,1,NA,NA,NA,NA
"combogencoo^1934^1",NA,1,NA,NA,NA,NA
"combogencoo^1943^1",NA,0.9,NA,0.1,NA,NA
"combogencoo^1943^2",NA,0.9,NA,0.1,NA,NA
"combogencoo^1979^1",NA,NA,NA,1,NA,NA
"combogencoo^1980^1",NA,NA,NA,1,NA,NA
"combogencoo^2001^1",NA,NA,NA,1,NA,NA
"combogencoo^2018^1",NA,NA,1,NA,NA,NA
"combogencoo^2022^1",NA,NA,NA,1,NA,NA
"combogencoo^2039^1",NA,1,NA,NA,NA,NA
"combogencoo^2039^2",NA,1,NA,NA,NA,NA
"combogencoo^2039^3",NA,1,NA,NA,NA,NA
"combogencoo^2049^1",NA,NA,NA,NA,NA,1
"combogencoo^2049^2",NA,NA,NA,1,NA,NA
"combogencoo^2050^1",NA,1,NA,NA,NA,NA
"combogencoo^2050^2",NA,1,NA,NA,NA,NA
"combogencoo^2053^1",NA,NA,1,NA,NA,NA
"combogencoo^2067^1",NA,NA,NA,1,NA,NA
"combogencoo^2070^1",NA,NA,NA,1,NA,NA
"combogencoo^2076^1",NA,NA,0.25,0.75,NA,NA
"combogencoo^2079^1",NA,1,NA,NA,NA,NA
"combogencoo^2079^2",NA,1,NA,NA,NA,NA
"combogencoo^2080^1",1,NA,NA,NA,NA,NA
"combogencoo^2080^2",1,NA,NA,NA,NA,NA
"combogencoo^2094^1",NA,1,NA,NA,NA,NA
"combogencoo^2094^2",NA,1,NA,NA,NA,NA
"combogencoo^2098^2",NA,1,NA,NA,NA,NA
"combogencoo^2098^1",NA,1,NA,NA,NA,NA
"combogencoo^2103^1",NA,1,NA,NA,NA,NA
"combogencoo^2103^2",NA,1,NA,NA,NA,NA
"combogencoo^2103^3",NA,1,NA,NA,NA,NA
"combogencoo^2103^4",NA,1,NA,NA,NA,NA
"combogencoo^2104^1",NA,1,NA,NA,NA,NA
"combogencoo^2104^2",NA,1,NA,NA,NA,NA
"combogencoo^2104^3",NA,1,NA,NA,NA,NA
"combogencoo^2104^4",NA,1,NA,NA,NA,NA
"combogencoo^2107^1",NA,1,NA,NA,NA,NA
"combogencoo^2107^2",NA,1,NA,NA,NA,NA
"combogencoo^2123^1",NA,NA,NA,1,NA,NA
"combogencoo^2132^1",NA,NA,NA,1,NA,NA
"combogencoo^2132^2",NA,NA,NA,1,NA,NA
"combogencoo^2161^1",NA,0.95,NA,0.05,NA,NA
"combogencoo^2167^1",NA,1,NA,NA,NA,NA
"combogencoo^2167^2",NA,1,NA,NA,NA,NA
"combogencoo^2168^1",1,NA,NA,NA,NA,NA
"combogencoo^2168^2",1,NA,NA,NA,NA,NA
"combogencoo^2226^1",NA,1,NA,NA,NA,NA
"combogencoo^2240^1",NA,NA,NA,1,NA,NA
"combogencoo^2240^2",NA,NA,NA,1,NA,NA
"combogencoo^2240^3",NA,NA,NA,1,NA,NA
"combogencoo^2244^1",NA,NA,NA,1,NA,NA
"combogencoo^2277^1",NA,NA,NA,1,NA,NA
