Plant.Code,elevation,pond_area
50271,46.99,1000000
50273,64.14,1000000
50277,1197.86,1000000
50279,923.15,1000000
50290,75.05,1000000
50292,115.84,1000000
50293,93.94,1000000
50363,-134.68,1000000
50385,18,1000000
50406,194,1000000
50407,20.03,1000000
50449,1412.03,1000000
50450,253.85,1000000
50451,591.37,1000000
50458,519.66,1000000
50460,163.52,1000000
50472,569.98,1000000
50497,7.93,1000000
50498,33.17,1000000
50541,8.55,1000000
50555,167.78,1000000
50558,1244.97,1000000
50560,1371.24,1000000
50561,16.79,1000000
50572,17.36,1000000
50611,1282.77,1000000
50629,100.71,1000000
50630,185.66,1000000
50632,349.7,1000000
50648,208.95,1000000
50649,61.88,1000000
50650,1164.56,1000000
50651,400.53,1000000
50657,348.78,1000000
50658,184.51,1000000
50664,65.07,1000000
50666,48.94,1000000
50676,4672.89,1000000
50707,4998.92,1000000
50736,544.61,1000000
50739,471.37,1000000
50744,468.76,1000000
50748,26.4,1000000
50770,1256.3,1000000
50771,629.88,1000000
50772,811.31,1000000
50774,114.21,1000000
50776,1058.59,1000000
50799,100.43,1000000
50815,35.75,1000000
50835,603.12,1000000
50837,6.59,1000000
50849,233.66,1000000
50850,639.44,1000000
50851,39.27,1000000
50852,35.63,1000000
50858,37.87,1000000
50859,345.66,1000000
50860,616.19,1000000
50872,537.85,1000000
50873,288.58,1000000
50874,484.48,1000000
50875,9.15,1000000
50876,117.12,1000000
50877,63.66,1000000
50878,510.22,1000000
50879,1496.69,1000000
50880,14.28,1000000
50881,486.39,1000000
50882,21.21,1000000
50883,9.33,1000000
50884,7.6,1000000
50885,14.49,1000000
50886,2326.79,1000000
50887,5.34,1000000
50888,333.19,1000000
50900,1246.12,1000000
50903,592.71,1000000
50906,5149.29,1000000
50907,309.1,1000000
50921,3513.62,1000000
50949,115.44,613.2818458
50950,1528.64,1000000
50951,6484.9,1000000
50966,55.15,1000000
50968,25.55,1000000
50974,1393.08,1000000
50976,31.5,1000000
50978,409.52,1000000
50993,716.04,1000000
51026,500.29,1000000
51030,528.63,1000000
52007,348.58,1000000
52010,23.84,1000000
52026,151.47,1000000
52056,97.36,1000000
52071,466.41,859.2056136
52088,13.09,1000000
52118,671.12,1000000
52168,7.56,1000000
52176,2481.42,1000000
54015,633.35,1000000
54033,17.31,1000000
54034,18.99,1000000
54035,93.76,1000000
54041,624.49,1000000
54056,54.8,1000000
54076,1419.48,1000000
54081,49.33,1000000
54114,13.66,1000000
54131,574.64,1000000
54144,1335.23,1000000
54219,3130.99,1000000
54221,5591,1000000
54224,1006.99,1000000
54238,9.79,1000000
54265,978.44,1000000
54271,1811.14,1000000
54304,97.23,1000000
54324,529.41,1000000
54349,1845.64,1000000
54350,2413.05,1000000
