Plant.Code,state,water_source,gsf_v11_id,prms_id,elev_ft,pond_acres,latitude,longitude,huc_12
863,IL,sw_fresh,14124,14145,453.7,1000000,39.15371,-87.648346,051201111303
864,IL,sw_fresh,17576,17592,452.55,1000000,39.881637,-90.567618,071300110304
869,IL,sw_fresh,19766,19785,518.29,1160.060402,41.348486,-88.233875,071200011809
874,IL,sw_fresh,20730,20756,514.54,1000000,41.448099,-88.14645,071200040905
876,IL,sw_fresh,19891,19918,599.23,1000000,39.545457,-89.518245,071300070402
879,IL,sw_fresh,20010,20038,463.74,1455.171686,40.589962,-89.650984,071300030304
880,IL,sw_fresh,20762,20790,594.19,1000000,41.701824,-90.310237,070801010402
884,IL,sw_fresh,20719,20724,586.68,1000000,41.730864,-87.882577,071200040705
887,IL,sw_fresh,12358,12363,348.74,1000000,37.148435,-88.818489,051402060701
889,IL,sw_fresh,20437,20466,439.03,1982.549307,38.184172,-89.887821,071402040908
891,IL,sw_fresh,20028,20000,459.55,1000000,40.249729,-90.109747,071300031002
892,IL,sw_fresh,20836,20859,464.4,1000000,41.2953,-89.216367,071300010804
897,IL,sw_fresh,13746,13760,703.31,1000000,40.153004,-87.762546,051201090509
898,IL,sw_fresh,16950,16954,434.93,1000000,38.895963,-90.21484,071100090402
913,IL,sw_fresh,17642,17656,407.96,1000000,38.648057,-90.220259,071401010403
934,IL,municipal,20388,20419,451.8,1000000,38.550303,-89.522681,071402030604
955,IL,sw_fresh,20836,20859,460.02,1000000,41.2953,-89.216367,071300010804
961,IL,municipal,18959,18980,793.38,1000000,41.947853,-89.050309,070900050302
963,IL,sw_fresh,19900,19916,581.75,1000000,39.710455,-89.641393,071300070707
964,IL,sw_fresh,19900,19916,565.69,1000000,39.710455,-89.641393,071300070707
976,IL,sw_fresh,13820,13840,516.96,1000000,37.572374,-88.910278,051402040101
983,IN,sw_fresh,13848,13854,463.95,1000000,38.742004,-85.398703,051401010302
988,IN,sw_fresh,12606,12613,489.85,1000000,39.079658,-84.869741,050902030802
990,IN,sw_fresh,15274,15300,683.89,1000000,39.694469,-86.217878,051202011205
991,IN,sw_fresh,15298,15318,616.55,1000000,39.478154,-86.440988,051202011503
992,IN,sw_fresh,15288,15312,686.93,1000000,39.788557,-86.122565,051202011201
994,IN,sw_fresh,15217,15134,434.02,1000000,38.491344,-87.266334,051202021001
1001,IN,sw_fresh,14014,14037,505.34,1000000,39.93169,-87.445125,051201081602
1004,IN,sw_fresh,15215,15235,459.87,1000000,38.792618,-87.217109,051202020803
1007,IN,sw_fresh,15259,15256,785.37,1000000,40.12722,-85.924386,051202010701
1008,IN,sw_fresh,13855,13877,454.48,1000000,38.271421,-85.81265,051401010904
1010,IN,sw_fresh,14120,14132,482.98,1000000,39.564075,-87.415399,051201110604
1012,IN,sw_fresh,13784,13792,390.95,1000000,37.859335,-87.265393,051402011203
1016,NC,municipal,6094,6134,93.95,1000000,35.090932,-78.78878,030300040705
1024,IN,gw_fresh,15309,15326,675.54,1000000,40.033101,-86.95613,051201100604
1032,IN,sw_fresh,15354,15374,604.58,1000000,40.798016,-86.31072,051201040705
1037,IN,sw_fresh,15405,15385,643.89,1000000,40.758473,-86.080044,051201011602
1040,IN,sw_fresh,12938,12941,991.75,1000000,39.806676,-84.87537,050800030707
1043,IN,sw_fresh,15218,15238,434.11,1000000,38.491344,-87.266334,051202021001
1046,IA,sw_fresh,19555,19490,594.34,1000000,42.494806,-90.644439,070600050202
1047,IA,sw_fresh,19306,19321,638.08,1000000,43.336672,-91.116762,070600010705
1048,IA,sw_fresh,20785,20808,589.16,1000000,41.829224,-90.16609,070801010204
1058,IA,sw_fresh,21129,21119,728.02,1000000,42.008521,-91.728857,070802051507
1060,IA,sw_fresh,21102,21116,756.96,1000000,42.13904,-91.795181,070802051504
1073,IA,sw_fresh,21131,21144,724.15,1000000,41.925331,-91.772341,070802051405
1077,IA,gw_fresh,20870,20890,860.26,1000000,42.02119,-92.85951,070802080206
1081,IA,sw_fresh,20767,20794,568.42,1000000,41.524561,-90.495823,070801010406
1082,IA,sw_fresh,26967,26997,980.36,1000000,41.241375,-95.875632,1.023E+11
1091,IA,sw_fresh,27022,27058,1077.99,1000000,42.348563,-96.375386,1.023E+11
1104,IA,sw_fresh,18776,18794,534.6,1000000,40.739233,-91.059861,070801041505
1122,IA,sw_fresh,18801,18818,920.72,1000000,42.093652,-93.593394,070801050406
1131,IA,sw_fresh,21096,21109,859.64,1000000,42.493172,-92.479136,070802050701
